#;Gemeinde;Bezirk / Statutarstadt;Einwohner 2013;Anlagen;Leistung [kW];[Watt/EW]
398;Sankt Leonhard am Forst;Melk;3.037;79; 455,80 ;150,08
399;Sankt Leonhard am Hornerwald;Krems-Land;1.139;44; 794,37 ;697,43
400;Sankt Margarethen an der Sierning;St. Pölten-Land;986;23; 143,64 ;145,68
401;Sankt Martin;Gmünd;1.140;20; 295,29 ;259,03
402;Sankt Martin-Karlsbach;Melk;1.693;27; 155,68 ;91,96
403;Sankt Oswald;Melk;1.125;30; 272,24 ;241,99
404;Sankt Pantaleon-Erla;Amstetten;2.524;42; 215,60 ;85,42
405;Sankt Peter in der Au;Amstetten;5.033;105; 2.175,28 ;432,2
406;Sankt Pölten;St. Pölten-Stadt;51.926 ;290; 2.214,07 ;42,64
407;Sankt Valentin;Amstetten;9.151;156; 1.077,01 ;117,69
408;Sankt Veit an der Gölsen;Lilienfeld;3.897;61; 395,50 ;101,49
409;Scharndorf;Bruck;1.132;9; 43,27 ;38,22
410;Scheibbs;Scheibbs;4.186;73; 480,12 ;114,7
411;Scheiblingkirchen-Thernberg;Neunkirchen;1.895;20; 93,96 ;49,58
412;Schollach;Melk;913;31; 268,77 ;294,38
413;Schönau an der Triesting;Baden;2.112;14; 96,65 ;45,76
414;Schönbach;Zwettl;848;10; 53,92 ;63,58
415;Schönberg am Kamp;Krems-Land;1.874;28; 152,56 ;81,41
416;Schönbühel-Aggsbach;Melk;1.018;12; 65,66 ;64,5
417;Schönkirchen-Reyersdorf;Gänserndorf;1.972;23; 1.105,62 ;560,66
418;Schrattenberg;Mistelbach;822;21; 123,00 ;149,64
419;Schrattenthal;Hollabrunn;854;16; 114,17 ;133,69
420;Schrems;Gmünd;5.587;95; 1.066,60 ;190,91
421;Schwadorf;Wien Umgebung;1.939;14; 60,54 ;31,22
422;Schwarzau am Steinfeld;Neunkirchen;1.854;28; 129,27 ;69,72
423;Schwarzau im Gebirge;Neunkirchen;690;7; 39,27 ;56,91
424;Schwarzenau;Zwettl;1.534;25; 167,58 ;109,24
425;Schwarzenbach;Wr. Neustadt-Land;987;10; 55,31 ;56,04
426;Schwechat;Wien Umgebung;16.805;40; 281,38 ;16,74
427;Schweiggers;Zwettl;1.986;63; 481,14 ;242,27
428;Seebenstein;Neunkirchen;1.361;16; 71,30 ;52,39
429;Seibersdorf;Baden;1.416;17; 79,58 ;56,2
430;Seitenstetten;Amstetten;3.295;102; 734,60 ;222,94
431;Senftenberg;Krems-Land;1.901;24; 113,86 ;59,89
432;Sieghartskirchen;Tulln;7.158;134; 750,98 ;104,91
433;Sierndorf;Korneuburg;3.688;73; 457,77 ;124,12
434;Sigmundsherberg;Horn;1.664;37; 219,08 ;131,66
435;Sitzenberg-Reidling;Tulln;2.013;26; 146,06 ;72,56
436;Sitzendorf an der Schmida;Hollabrunn;2.150;35; 232,21 ;108
437;Sollenau;Wr. Neustadt-Land;4.754;45; 303,42 ;63,82
438;Sommerein;Bruck;1.949;24; 279,67 ;143,49
439;Sonntagberg;Amstetten;3.782;46; 308,89 ;81,67
440;Sooß;Baden;1.094;11; 91,05 ;83,23
441;Spannberg;Gänserndorf;923;11; 71,60 ;77,57
442;Spillern;Korneuburg;2.141;14; 62,38 ;29,14
443;Spitz;Krems-Land;1.666;10; 66,90 ;40,16
444;Staatz;Mistelbach;1.985;29; 176,67 ;89
445;Statzendorf;St. Pölten-Land;1.371;33; 186,75 ;136,21
446;Steinakirchen am Forst;Scheibbs;2.244;73; 1.789,70 ;797,55
447;Stetteldorf am Wagram;Korneuburg;1.019;16; 66,10 ;64,87
448;Stetten;Korneuburg;1.278;16; 99,03 ;77,49
449;Stockerau;Korneuburg;15.779;73; 366,75 ;23,24
450;Stössing;St. Pölten-Land;790;12; 82,09 ;103,91
451;Straning-Grafenberg;Horn;755;16; 98,05 ;129,87
452;Straß im Straßertale;Krems-Land;1.590;32; 141,40 ;88,93
453;Strasshof an der Nordbahn;Gänserndorf;8.729;83; 440,80 ;50,5
454;Stratzing;Krems-Land;813;19; 105,01 ;129,16
455;Strengberg;Amstetten;1.992;53; 503,38 ;252,7
456;Stronsdorf;Mistelbach;1.640;29; 146,55 ;89,36
457;Sulz im Weinviertel;Gänserndorf;1.174;23; 119,56 ;101,84
458;Tattendorf;Baden;1.330;17; 125,39 ;94,28
459;Teesdorf;Baden;1.747;13; 71,93 ;41,17
460;Ternitz;Neunkirchen;14.784;88; 488,89 ;33,07
461;Texingtal;Melk;1.583;36; 274,46 ;173,38
462;Thaya;Waidhofen a.d. Thaya;1.402;29; 251,51 ;179,39
463;Theresienfeld;Wr. Neustadt-Land;2.977;21; 105,67 ;35,5
464;Thomasberg;Neunkirchen;1.229;31; 220,73 ;179,6
